PredID,SucID,Type,Lag,Sequence
10,20,FS,0,0
12,15,FS,0,0
15,110,FF,5,0
17,70,FS,0,0
20,30,SS,2,0
30,40,SS,2,0
40,50,SS,2,0
50,60,SS,2,0
60,70,FS,0,0
70,110,FS,0,0
80,110,FS,0,0
90,160,FS,0,0
100,110,FS,0,0
110,120,FS,0,0
120,180,FS,0,0
123,190,FS,0,0
127,197,FS,0,0
130,140,FS,0,0
140,150,FS,0,0
150,160,FS,0,0
160,170,FS,0,0
170,250,FS,0,0
175,190,FS,0,0
180,190,FS,0,0
190,160,FS,0,0
194,250,FS,0,0
197,245,FS,0,0
200,210,FS,0,0
210,220,FS,0,0
220,240,FS,0,0
230,260,FS,0,0
240,230,FS,0,0
245,230,FS,0,0
250,290,FS,0,0
260,290,FS,0,0
270,290,FS,0,0
280,300,FF,0,0
290,300,FF,0,0
295,300,FF,0,0
300,300,FF,0,1
10,80,FS,0,0
12,20,FS,0,0
20,30,FF,2,0
30,40,FF,2,0
40,50,FF,2,0
50,60,FF,2,0
60,100,FS,0,0
70,80,FS,0,0
90,170,FS,0,0
110,123,FS,0,0
120,200,FS,0,0
123,230,FS,0,0
127,250,FS,0,0
140,280,FS,0,0
150,280,FS,0,0
160,250,FS,0,0
190,260,FS,0,0
197,250,FS,0,0
230,295,FS,0,0
260,270,FS,0,0
10,12,FS,0,0
60,90,FS,0,0
120,130,FS,0,0
123,295,FS,0,0
190,290,FS,0,0
10,10,FS,0,1
12,12,FS,0,1
15,15,FS,0,1
17,70,FS,0,1
20,20,FS,0,1
30,30,FS,0,1
40,40,FS,0,1
50,50,FS,0,1
60,60,FS,0,1
70,70,FS,0,1
100,100,FS,0,1
110,110,SS,5,1
120,127,FS,0,0
123,123,FS,0,1
140,140,FS,0,1
150,150,FS,0,1
160,160,FS,0,1
170,170,FS,0,1
190,197,FS,0,0
194,194,FS,0,1
200,200,SS,4,1
210,210,FS,0,1
220,220,FS,0,1
230,230,FS,0,1
250,250,SS,5,1
270,270,FS,0,1
120,175,FS,0,0
190,245,FS,0,0
190,190,SS,6,1
